日期,累计确诊,当前确诊,当前重症,当前疑似,治愈,死亡,新确诊,新重症,新疑似,新治愈,新死亡,累计追踪,新排除,当前观察,湖北累计确诊,湖北当前确诊,湖北当前重症,湖北当前疑似,湖北治愈,湖北死亡,湖北新确诊,湖北新重症,湖北新疑似,湖北新治愈,湖北新死亡,非湖北累计确诊,非湖北当前确诊,非湖北当前重症,非湖北当前疑似,非湖北治愈,非湖北死亡,非湖北新确诊,非湖北新重症,非湖北新疑似,非湖北新治愈,非湖北新死亡
2020-01-20,291,,,54,,,77,,27,,,1739,817,922,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,440,,102,37,,9,149,,26,,3,2197,765,1394,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,571,,95,393,,17,131,,257,,8,5897,969,4928,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,830,771,177,1072,34,25,259,,680,6,8,9507,1087,8420,549,522,129,,3,24,105,,,,7,281,249,48,,31,1,154,,,,1
2020-01-24,1287,1208,237,1965,38,41,444,,1118,3,16,15197,1230,13967,729,689,157,,1,39,180,28,,,15,558,519,80,,37,2,264,,,,1
2020-01-25,1975,1870,324,2684,49,56,688,87,1309,11,15,23431,325,21556,1052,958,,,42,52,323,,,10,13,923,912,,,7,4,365,,,1,2
2020-01-26,2744,2613,461,5794,51,80,769,137,3806,2,24,32799,583,30453,1423,1303,290,,44,76,371,,,2,24,1321,1310,171,,7,4,398,,,0,0
2020-01-27,4515,4349,976,6973,60,106,1771,515,2077,9,26,47833,914,44132,2714,2567,690,,47,100,1291,400,,,24,1801,1782,286,,13,6,480,115,,,2
2020-01-28,5974,5739,1239,9239,103,132,1459,263,3248,43,26,65537,1604,59990,3554,3349,899,,80,125,840,209,,,25,2420,2390,340,,23,7,619,54,,,1
2020-01-29,7711,7417,1370,12167,124,170,1737,131,4148,21,38,88693,2364,81947,4586,4334,988,,90,162,1032,89,,10,37,3125,3083,382,,34,8,705,42,,11,1
2020-01-30,9692,9308,1527,15238,171,213,1982,157,4812,47,43,113579,4201,102427,5806,5486,1094,,116,204,1220,106,,26,42,3886,3822,433,,55,9,762,51,,21,1
2020-01-31,11791,11289,1795,17988,243,259,2102,268,5019,72,46,136987,6509,118478,7153,6738,1294,,166,249,1347,200,,50,45,4638,4551,501,,77,10,755,68,,22,1
2020-02-01,14380,13748,2110,19544,328,304,2590,315,4562,85,45,163844,8044,137594,9074,8565,1562,,215,294,1921,268,2606,49,45,5306,5183,548,,113,10,669,47,1956,36,0
2020-02-02,17205,16369,2296,21558,475,361,2829,186,5173,147,57,189583,10055,152700,11177,10532,1701,,295,350,2103,139,3260,80,56,6028,5837,595,,180,11,726,47,1913,67,1
2020-02-03,20438,19381,2788,23214,632,425,3235,492,5072,157,64,221015,12755,171329,13522,12712,2143,,396,414,2345,442,3182,101,64,6916,6669,645,,236,11,890,50,1890,56,0
2020-02-04,24324,22942,3219,23260,892,490,3887,431,3971,262,65,252154,18457,185555,16678,15679,2520,,520,479,3156,377,1957,125,65,7646,7263,699,,372,11,731,54,2014,137,0
2020-02-05,28018,26302,3859,24702,1153,563,3694,640,5328,261,73,282813,21365,186354,19665,18483,3084,,633,549,2987,564,3230,113,70,8353,7819,775,,520,14,707,76,2098,148,3
2020-02-06,31161,28985,4821,26359,1540,636,3143,962,4833,387,73,314028,26762,186045,22112,20677,4002,,817,618,2447,918,2622,184,69,9049,8308,819,,723,18,696,44,2211,203,4
2020-02-07,34546,31774,6101,27657,2050,722,3399,1280,4214,510,86,345498,26702,189660,24953,23139,5195,,1115,699,2841,1193,2073,298,81,9593,8635,906,,935,23,558,87,2141,212,5
2020-02-08,37198,33738,6188,28942,2649,811,2656,87,3916,600,89,371905,31124,188183,27100,24881,5247,23638,1439,780,2147,52,2067,324,81,10098,8857,941,5304,1210,31,509,35,1849,276,8
2020-02-09,40171,35982,6484,23589,3281,908,3062,296,4008,632,97,399487,29307,187518,29631,26965,5505,18438,1795,871,2618,258,2272,356,91,10540,9017,979,5151,1486,37,444,38,1736,276,6
2020-02-10,42638,37626,7333,21675,3996,1016,2478,849,3536,716,108,428438,26724,187728,31728,28532,6344,16687,2222,974,2097,839,1814,427,103,10910,9094,989,4988,1774,42,381,10,1722,289,5
2020-02-11,44653,38800,8204,16067,4740,1113,2015,871,3342,744,97,451462,30068,185037,33366,29659,7241,11295,2639,1068,1638,897,1685,417,94,11287,9141,963,4772,2101,45,377,-26,1657,327,3
2020-02-12,59804,52526,8030,13435,5911,1367,15152,-174,2807,1171,254,471531,29429,181386,48206,43455,7084,9028,3441,1310,14840,-157,1377,802,242,11598,9071,946,4407,2470,57,312,-17,1430,369,12
2020-02-13,63851,55748,10204,10109,6723,1380,5090,2174,2450,1081,121,493067,26905,177984,51986,46806,9278,6169,3862,1318,4823,2194,1154,690,116,11865,8942,926,3940,2861,62,267,-20,1296,391,5
2020-02-14,66492,56873,11053,8969,8096,1523,2641,849,2277,1373,143,513183,30081,169039,54406,48175,10152,5534,4774,1457,2420,874,1216,912,139,12086,8698,901,3435,3322,66,221,-25,1061,461,4
